ID,phase,group,calcElo,rawGroomRate,rawAggRecRate,groupcent_groom,groupcent_agRec,groupcent_elo,adjDate,fractionKept,animalID
28,LO,SGE1,NSPF3_1,1020,9.63946341463415,0.195121951219512,0.493463422501968,-0.703579858379229,20,,1,RLo9
29,MG,SGE1,SPF4_1,1619,14.795935483871,0,4.93476440092166,-2.69700460829493,673.25,,1,RMg12
30,MI,SGE1,SPF3_1,206,2.76181818181818,6.18181818181818,-1.46567272727273,1.64848484848485,-794,,1,RMi12
31,MO,SGE1,SPF2_1,1893,4.19514893617021,0,-0.706379493270965,-2.60161779575329,893,,1,77_06
32,NN,SGE1,SPF4_1,202,6.13507142857143,8.14285714285714,-3.72609965437788,5.44585253456221,-743.75,,1,RNn10
33,PH,SGE1,NSPF2_1,756,8.76040909090909,0.454545454545455,-3.97303345289631,-1.27825706039992,-244,,1,RPh7
34,PT,SGE1,NSPF4_1,748,15.3055897435897,1.58974358974359,0.872653846153847,0.51025641025641,-252,,1,RPt8
35,PZ,SGE1,NSPF5_1,1477,23.7880952380952,0,5.68789578754579,-0.566666666666667,253.5,,1,RPz13
36,QT,SGE1,SPF1_1,505,6.9085,2.91666666666667,-0.677937411347518,1.08085106382979,-495,,1,RQt8
37,QV,SGE1,NSPF1_1,1538,16.9457333333333,0,4.89943605487579,-1.68854282536151,538,,1,RQv5
38,RN,SGE1,NSPF2_1,1457,13.448,0.0416666666666667,0.7145574561946,-1.69113584827871,457,,1,RRn9
39,RZ,SGE1,NSPF1_1,1031,12.3670967741935,0.387096774193548,0.320799495736003,-1.30144605116796,31,,1,RRz6
40,SD,SGE1,SPF1_1,312,4.54497872340426,4.59574468085106,-3.04145868794326,2.75992907801418,-688,,1,RSd4
41,SM,SGE1,NSPF1_1,1446,16.1330322580645,0.0645161290322581,4.08673497960697,-1.62402669632925,446,,1,RSm8
42,SS,SGE1,SPF1_1,1434,8.143125,0.166666666666667,0.556687588652482,-1.66914893617021,434,,1,RSs10
43,TA,SGE1,SPF4_1,1144,9.73896774193548,0.258064516129032,-0.122203341013824,-2.4389400921659,198.25,,1,RTa11
44,TM,SGE1,NSPF4_1,1329,15.2862564102564,0.205128205128205,0.853320512820513,-0.874358974358974,329,,1,RTm13
45,TR,SGE1,NSPF4_1,802,16.4792307692308,1.43589743589744,2.04629487179487,0.356410256410256,-198,,1,RTr13
46,VT,SGE1,SPF3_1,1955,5.87654545454545,0,1.64905454545455,-4.53333333333333,955,,1,RVt12
47,WM,SGE1,NSPF5_1,1091,13.5537692307692,1,-4.54643021978022,0.433333333333333,-132.5,,1,RWm14
48,YR,SGE1,SPF3_1,416,3.91636363636364,13.6969696969697,-0.311127272727272,9.16363636363636,-584,,1,RYr14
49,YZ,SGE1,SPF1_1,1041,4.848875,1.5,-2.73756241134752,-0.33581560283688,41,,1,RYz6
