ID,phase,group,calcElo,rawGroomRate,rawAggRecRate,groupcent_groom,groupcent_agRec,groupcent_elo,adjDate,fractionKept,animalID
18,GQ,SGE1,NSPF3_1,1121,2.16625,0,-1.31297372934697,-0.242738001573564,121,EnvChall,0.218098627351296,RGq10
19,GU,SGE1,NSPF4_1,1391,4.87533333333333,0,0.78811452991453,-0.202564102564103,391,EnvChall,0.216575716234652,RGu10
20,HT,SGE1,SPF1_1,1475,6.75716666666667,0,3.04596897163121,-0.971631205673759,475,EnvChall,0.469656992084433,RHt8
21,IE,SGE1,NSPF1_1,845,2.88779310344828,0.482758620689655,0.019145020393029,-0.426696329254728,-155,EnvChall,0.314285714285714,RIe6
22,IK,SGE1,NSPF3_1,734,1.6218064516129,0.516129032258065,-1.85741727773407,0.2733910306845,-266,EnvChall,0.218098627351296,RIk6
23,IV,SGE1,NSPF4_1,626,3.15055555555556,0.5,-0.936663247863248,0.297435897435897,-374,EnvChall,0.216575716234652,RIv8
24,JE,SGE1,SPF2_1,880,1.60573913043478,0.0434782608695652,0.722635037079608,-0.25525061389571,-120,EnvChall,0.221613832853026,RJe11
25,JV,SGE1,SPF2_1,1176,0.546782608695652,0,-0.336321484659522,-0.298728874765275,176,EnvChall,0.221613832853026,JVA
26,KK,SGE1,SPF2_1,336,0.251285714285714,1.35714285714286,-0.63181837906946,1.05841398237758,-664,EnvChall,0.221613832853026,RKk13
27,LM,SGE1,NSPF3_1,1472,6.03326829268293,0,2.55404456333596,-0.242738001573564,472,EnvChall,0.218098627351296,RLm8
28,LO,SGE1,NSPF3_1,1026,3.60624390243902,0.0975609756097561,0.127020173092053,-0.145177025963808,26,EnvChall,0.218098627351296,RLo9
29,MG,SGE1,SPF4_1,1474,6.03051612903226,0,1.83049193548387,-1.28744239631336,528.25,EnvChall,0.445940078158923,RMg12
30,MI,SGE1,SPF3_1,206,2.76181818181818,6.18181818181818,0.340290909090909,2.75151515151515,-794,EnvChall,0.471448275862069,RMi12
31,MO,SGE1,SPF2_1,1696,0.498085106382979,0,-0.385018986972196,-0.298728874765275,696,EnvChall,0.221613832853026,77_06
32,NN,SGE1,SPF4_1,361,3.245,3.21428571428571,-0.955024193548387,1.92684331797235,-584.75,EnvChall,0.445940078158923,RNn10
33,PH,SGE1,NSPF2_1,889,1.26513636363636,0.227272727272727,-2.26055968460111,-0.36711605854463,-111,EnvChall,0.346666666666667,RPh7
34,PT,SGE1,NSPF4_1,885,4.6445641025641,0.102564102564103,0.557345299145299,-0.1,-115,EnvChall,0.216575716234652,RPt8
35,PZ,SGE1,NSPF5_1,1444,10.5640952380952,0,5.08575860805861,-0.196153846153846,250.25,EnvChall,0.333795654184004,RPz13
36,QT,SGE1,SPF1_1,811,2.18495833333333,0.791666666666667,-1.52623936170213,-0.179964539007092,-189,EnvChall,0.469656992084433,RQt8
37,QV,SGE1,NSPF1_1,1171,3.21286666666667,0,0.34421858361142,-0.909454949944383,171,EnvChall,0.314285714285714,RQv5
38,RN,SGE1,NSPF2_1,1366,2.80025,0,-0.725446048237477,-0.594388785817357,366,EnvChall,0.346666666666667,RRn9
39,RZ,SGE1,NSPF1_1,1244,3.06109677419355,0,0.192448691138302,-0.909454949944383,244,EnvChall,0.314285714285714,RRz6
40,SD,SGE1,SPF1_1,432,2.84744680851064,3.19148936170213,-0.863750886524822,2.21985815602837,-568,EnvChall,0.469656992084433,RSd4
41,SM,SGE1,NSPF1_1,1387,4.03051612903226,0,1.16186804597701,-0.909454949944383,387,EnvChall,0.314285714285714,RSm8
42,SS,SGE1,SPF1_1,1435,4.8635,0,1.15230230496454,-0.971631205673759,435,EnvChall,0.469656992084433,RSs10
43,TA,SGE1,SPF4_1,1042,3.51870967741935,0.193548387096774,-0.681314516129032,-1.09389400921659,96.25,EnvChall,0.445940078158923,RTa11
44,TM,SGE1,NSPF4_1,1214,2.53035897435897,0.153846153846154,-1.55685982905983,-0.0487179487179487,214,EnvChall,0.216575716234652,RTm13
45,TR,SGE1,NSPF4_1,884,5.23528205128205,0.256410256410256,1.14806324786325,0.0538461538461538,-116,EnvChall,0.216575716234652,RTr13
46,VT,SGE1,SPF3_1,1750,3.15872727272727,0,0.7372,-3.43030303030303,750,EnvChall,0.471448275862069,RVt12
47,WM,SGE1,NSPF5_1,1012,1.93338461538462,0.384615384615385,-3.54495201465201,0.188461538461538,-181.75,EnvChall,0.333795654184004,RWm14
48,YR,SGE1,SPF3_1,530,1.2970303030303,8.78787878787879,-1.12449696969697,5.35757575757576,-470,EnvChall,0.471448275862069,RYr14
49,YZ,SGE1,SPF1_1,847,1.90291666666667,0.875,-1.80828102836879,-0.0966312056737588,-153,EnvChall,0.469656992084433,RYz6
