ID,phase.agg,group.agg,intro.no,elo.agg,num.obs,ordinal.rank,agg.received,id.group,eloID,calcElo,eloIDStart,calcEloStart,groupEloStab,groupEloDCI,hIndex,hIndexP,ttri,ttriP,elo.groom,min,min.give,min.receive,no.obs,group.groom,phase.groom,rawGroomRate,rawAggRecRate,calcOrdRank,finalRank,experimentDate,grpExpDate,adjDate,fractionKept,animalID,groupStart,diedInPhase,daysOut,fracTimeInGroup,groupcent_groom,groupcent_agRec,groupcent_elo,group.gc
31,PH,SGE2,NSPF3,4,890,17,4,6,PH_NSPF3,PH,890,PH,1010,0.9986,1,1,0.112,1,0.112,890,71.787,24.192,47.595,17,NSPF3,2,8.44552941176471,0.705882352941177,4,4,2019-10-14,2019-10-14,EnvChall,0.521276595744681,RPh7,2019-07-19,FALSE,0,1,-0.372596470588235,-0.435294117647059,-110,NSPF3
32,PT,SGE2,NSPF2,5,592,27,4,46,PT_NSPF2,PT,592,PT,843,0.9962,0.992673992673993,1,0.102,1,0.114,592,15.58,9.581,5.999,27,NSPF2,2,1.15407407407407,3.40740740740741,4,4,2019-08-25,2019-08-25,EnvChall,0.500429922613929,RPt8,2019-04-26,TRUE,17,0.859504132231405,-2.29982546980478,1.1909505564678,-408,NSPF2
33,RN,SGE2,NSPF1,2,389,20,4,24,RN_NSPF1,RN,392,RN,474,0.9923,0.987654320987654,1,0.372,1,0.376,389,16.509,5.583,10.926,20,NSPF1,2,1.6509,2.4,4,4,2019-08-27,2019-08-27,EnvChall,0.472914875322442,RRn9,2019-05-06,FALSE,20,0.823008849557522,-3.75914105351171,1.73478260869565,-608,NSPF1
34,RZ,SGE2,NSPF2,3,1462,29,2,0,RZ_NSPF2,RZ,1462,RZ,1263,0.9962,0.992673992673993,1,0.102,1,0.114,1462,50.528,23.469,27.059,29,NSPF2,2,3.48468965517241,0,2,2,2019-08-25,2019-08-25,EnvChall,0.500429922613929,RRz6,2019-04-26,FALSE,0,1,0.0307901112935594,-2.21645685093961,462,NSPF2
35,SS,SGE2,SPF5,3,901,12,4,4,SS_SPF5,SS,916,SS,885,0.9835,0.982300884955752,1,0.136,1,0.204,901,39.76,17.877,21.883,12,SPF5,2,6.62666666666667,0.666666666666667,4,4,2019-11-11,2019-11-11,EnvChall,0.360529217199559,RSs10,2019-10-25,FALSE,0,1,-0.481603030303031,-0.348484848484849,-84,SPF5
36,TA,SGE2,SPF5,2,1409,12,1,0,TA_SPF5,TA,1409,TA,1404,0.9835,0.982300884955752,1,0.136,1,0.204,1409,55.551,15.233,40.318,12,SPF5,2,9.2585,0,1,1,2019-11-11,2019-11-11,EnvChall,0.360529217199559,RTa11,2019-10-25,FALSE,0,1,2.1502303030303,-1.01515151515152,409,SPF5
37,TM,SGE2,NSPF4,4,799,19,4,9,TM_NSPF4,TM,798,TM,771,0.9991,1,0.95,0.146,1,0.328,799,90.872,34.529,56.343,19,NSPF4,2,9.56547368421053,0.947368421052632,4,4,2019-10-16,2019-10-16,EnvChall,0.502623294858342,RTm13,2019-07-19,FALSE,0,1,-0.740563742690059,0.476023391812865,-202,NSPF4
38,TR,SGE2,NSPF3,3,392,20,5,47,TR_NSPF3,TR,392,TR,502,0.9986,1,1,0.112,1,0.112,392,59.893,54.813,5.08000000000001,20,NSPF3,2,5.9893,4.7,5,5,2019-10-14,2019-10-14,EnvChall,0.521276595744681,RTr13,2019-07-19,FALSE,5,0.942528735632184,-2.82882588235294,3.55882352941176,-608,NSPF3
39,VH,SGE2,NSPF4,5,638,18,5,7,VH_NSPF4,VH,625,VH,873,0.9991,1,0.95,0.146,1,0.328,638,71.186,44.776,26.41,18,NSPF4,2,7.90955555555556,0.777777777777778,5,5,2019-10-16,2019-10-16,EnvChall,0.502623294858342,RVh7,2019-07-19,FALSE,11,0.876404494382023,-2.39648187134503,0.306432748538012,-375,NSPF4
40,VT,SGE2,SPF5,5,410,12,5,21,VT_SPF5,VT,392,VT,443,0.9835,0.982300884955752,1,0.136,1,0.204,410,7.121,7.121,0,12,SPF5,2,1.18683333333333,3.5,5,5,2019-11-11,2019-11-11,EnvChall,0.360529217199559,RVt12,2019-10-25,FALSE,0,1,-5.92143636363636,2.48484848484848,-608,SPF5
41,WM,SGE2,NSPF3,2,1393,20,1,0,WM_NSPF3,WM,1393,WM,1247,0.9986,1,1,0.112,1,0.112,1393,83.988,46.385,37.603,20,NSPF3,2,8.3988,0,1,1,2019-10-14,2019-10-14,EnvChall,0.521276595744681,RWm14,2019-07-19,FALSE,0,1,-0.419325882352942,-1.14117647058824,393,NSPF3
42,YR,SGE2,SPF2,3,718,19,3,1,YR_SPF2,YR,738,YR,794,1,1,1,0.769,1,0.746,718,26.108,23.988,2.12,19,SPF2,2,2.74821052631579,0.105263157894737,3,3,2019-10-03,2019-10-03,EnvChall,0.401253918495298,RYr14,2019-07-05,FALSE,0,1,0.763929824561404,0.0701754385964912,-262,SPF2
43,YZ,SGE2,SPF3,4,505,15,5,9,YZ_SPF3,YZ,480,YZ,1000,0.995,1,1,0.114,1,0.218,505,66.893,35.592,31.301,15,SPF3,2,8.91906666666667,1.2,5,5,2019-10-18,2019-10-18,EnvChall,0.490451388888889,RYz6,2019-07-24,FALSE,8,0.906976744186046,1.76319333333333,0.46,-520,SPF3
