ID,phase.agg,group.agg,intro.no,elo.agg,num.obs,ordinal.rank,agg.received,id.group,eloID,calcElo,eloIDStart,calcEloStart,groupEloStab,groupEloDCI,elo.groom,min,min.give,min.receive,no.obs,group.groom,phase.groom,rawGroomRate,rawAggRecRate,calcOrdRank,experimentDate,grpExpDate,adjDate,fractionKept,animalID,groupStart,diedInPhase,daysOut,fracTimeInGroup
25,LM,SGE2,NSPF1,3,908,23,3,3,LM_NSPF1,LM,944,LM,982,0.9923,0.987654320987654,908,16.341,10.758,5.583,23,NSPF1,2,1.42095652173913,0.260869565217391,3,2019-08-27,2019-08-27,EnvChall,0.472914875322442,RLm8,2019-05-06,FALSE,25,0.778761061946903
26,LO,SGE2,NSPF4,3,966,19,3,6,LO_NSPF4,LO,965,LO,997,0.9991,1,966,102.997,54.434,48.563,19,NSPF4,2,10.8417894736842,0.631578947368421,3,2019-10-16,2019-10-16,EnvChall,0.502623294858342,RLo9,2019-07-19,FALSE,0,1
27,MD,SGE2,NSPF5,1,1316,18,1,0,MD_NSPF5,MD,1316,MD,1198,0.993,1,1316,41.152,29.643,11.509,18,NSPF5,2,4.57244444444444,0,1,2019-10-07,2019-10-07,EnvChall,0.239637305699482,RMd11,2019-07-05,FALSE,0,1
28,MG,SGE2,SPF3,5,1437,20,1,0,MG_SPF3,MG,1459,MG,1309,0.995,1,1437,92.33,37.509,54.821,20,SPF3,2,9.233,0,1,2019-10-18,2019-10-18,EnvChall,0.490451388888889,RMg12,2019-07-24,FALSE,0,1
29,MI,SGE2,SPF1,2,751,18,4,18,MI_SPF1,MI,664,MI,865,0.9995,0.975903614457831,751,12.752,10.376,2.376,18,SPF1,2,1.41688888888889,2,5,2019-10-10,2019-10-10,EnvChall,0.399577167019027,RMi12,2019-07-19,TRUE,7,0.91566265060241
30,MO,SGE2,SPF4,4,532,4,4,10,MO_SPF4,MO,532,MO,598,0.9946,1,532,0.306000000000001,0,0.306000000000001,4,SPF4,2,0.153,5,4,2019-11-13,2019-11-13,EnvChall,0.549053356282272,77_06,2019-08-21,TRUE,50,0.404761904761905
31,NN,SGE2,SPF1,1,1516,14,1,0,NN_SPF1,NN,1546,NN,1341,0.9995,0.975903614457831,1516,14.175,0,14.175,14,SPF1,2,2.025,0,1,2019-10-10,2019-10-10,EnvChall,0.399577167019027,RNn10,2019-07-19,TRUE,0,1
32,NP,SGE2,NSPF3,5,1059,20,3,3,NP_NSPF3,NP,1059,NP,1080,0.9986,1,1059,96.769,47.435,49.334,20,NSPF3,2,9.6769,0.3,3,2019-10-14,2019-10-14,EnvChall,0.521276595744681,RNp9,2019-07-19,FALSE,0,1
33,PH,SGE2,NSPF3,4,890,17,4,6,PH_NSPF3,PH,890,PH,1010,0.9986,1,890,71.787,24.192,47.595,17,NSPF3,2,8.44552941176471,0.705882352941177,4,2019-10-14,2019-10-14,EnvChall,0.521276595744681,RPh7,2019-07-19,FALSE,0,1
34,PT,SGE2,NSPF2,5,592,27,4,46,PT_NSPF2,PT,592,PT,843,0.9962,0.992673992673993,592,15.58,9.581,5.999,27,NSPF2,2,1.15407407407407,3.40740740740741,4,2019-08-25,2019-08-25,EnvChall,0.500429922613929,RPt8,2019-04-26,TRUE,17,0.859504132231405
35,RN,SGE2,NSPF1,2,389,20,4,24,RN_NSPF1,RN,392,RN,474,0.9923,0.987654320987654,389,16.509,5.583,10.926,20,NSPF1,2,1.6509,2.4,4,2019-08-27,2019-08-27,EnvChall,0.472914875322442,RRn9,2019-05-06,FALSE,20,0.823008849557522
36,RZ,SGE2,NSPF2,3,1462,29,2,0,RZ_NSPF2,RZ,1462,RZ,1263,0.9962,0.992673992673993,1462,50.528,23.469,27.059,29,NSPF2,2,3.48468965517241,0,2,2019-08-25,2019-08-25,EnvChall,0.500429922613929,RRz6,2019-04-26,FALSE,0,1
37,SD,SGE2,SPF1,5,500,1,5,0,SD_SPF1,SD,840,SD,840,0.9995,0.975903614457831,500,0,0,0,1,SPF1,2,0,0,3,2019-10-10,2019-10-10,EnvChall,0.399577167019027,RSd4,2019-07-19,TRUE,5,0.072289156626506
38,SS,SGE2,SPF5,3,901,12,4,4,SS_SPF5,SS,916,SS,885,0.9835,0.982300884955752,901,39.76,17.877,21.883,12,SPF5,2,6.62666666666667,0.666666666666667,4,2019-11-11,2019-11-11,EnvChall,0.360529217199559,RSs10,2019-10-25,FALSE,0,1
39,TA,SGE2,SPF5,2,1409,12,1,0,TA_SPF5,TA,1409,TA,1404,0.9835,0.982300884955752,1409,55.551,15.233,40.318,12,SPF5,2,9.2585,0,1,2019-11-11,2019-11-11,EnvChall,0.360529217199559,RTa11,2019-10-25,FALSE,0,1
40,TM,SGE2,NSPF4,4,799,19,4,9,TM_NSPF4,TM,798,TM,771,0.9991,1,799,90.872,34.529,56.343,19,NSPF4,2,9.56547368421053,0.947368421052632,4,2019-10-16,2019-10-16,EnvChall,0.502623294858342,RTm13,2019-07-19,FALSE,0,1
41,TR,SGE2,NSPF3,3,392,20,5,47,TR_NSPF3,TR,392,TR,502,0.9986,1,392,59.893,54.813,5.08000000000001,20,NSPF3,2,5.9893,4.7,5,2019-10-14,2019-10-14,EnvChall,0.521276595744681,RTr13,2019-07-19,FALSE,5,0.942528735632184
42,VH,SGE2,NSPF4,5,638,18,5,7,VH_NSPF4,VH,625,VH,873,0.9991,1,638,71.186,44.776,26.41,18,NSPF4,2,7.90955555555556,0.777777777777778,5,2019-10-16,2019-10-16,EnvChall,0.502623294858342,RVh7,2019-07-19,FALSE,11,0.876404494382023
43,VT,SGE2,SPF5,5,410,12,5,21,VT_SPF5,VT,392,VT,443,0.9835,0.982300884955752,410,7.121,7.121,0,12,SPF5,2,1.18683333333333,3.5,5,2019-11-11,2019-11-11,EnvChall,0.360529217199559,RVt12,2019-10-25,FALSE,0,1
44,WM,SGE2,NSPF3,2,1393,20,1,0,WM_NSPF3,WM,1393,WM,1247,0.9986,1,1393,83.988,46.385,37.603,20,NSPF3,2,8.3988,0,1,2019-10-14,2019-10-14,EnvChall,0.521276595744681,RWm14,2019-07-19,FALSE,0,1
45,YR,SGE2,SPF2,3,718,19,3,1,YR_SPF2,YR,738,YR,794,1,1,718,26.108,23.988,2.12,19,SPF2,2,2.74821052631579,0.105263157894737,3,2019-10-03,2019-10-03,EnvChall,0.401253918495298,RYr14,2019-07-05,FALSE,0,1
46,YZ,SGE2,SPF3,4,505,15,5,9,YZ_SPF3,YZ,480,YZ,1000,0.995,1,505,66.893,35.592,31.301,15,SPF3,2,8.91906666666667,1.2,5,2019-10-18,2019-10-18,EnvChall,0.490451388888889,RYz6,2019-07-24,FALSE,8,0.906976744186046
