ID,phase.agg,group.agg,intro.no,elo.agg,num.obs,ordinal.rank,agg.received,id.group,eloID,calcElo,groupEloStab,groupEloDCI,elo.groom,min,min.give,min.receive,no.obs,group.groom,phase.groom,rawGroomRate,rawAggRecRate,calcOrdRank,experimentDate,grpExpDate,adjDate,fractionKept,animalID,groupStart,diedInPhase,daysOut,fracTimeInGroup
32,NN,SGE1,SPF4_1,5,419,28,4,114,NN_SPF4_1,NN,202,0.9944,0.844155844155844,419,85.891,22.007,63.884,28,SPF4_1,1,6.13507142857143,8.14285714285714,4,NA,2019-03-13,WholePhase,1,RNn10,2018-09-17,FALSE,28,0.84180790960452
33,PH,SGE1,NSPF2_1,5,889,44,4,10,PH_NSPF2_1,PH,756,0.9971,0.987654320987654,889,192.729,97.741,94.988,44,NSPF2_1,1,8.76040909090909,0.454545454545455,4,NA,2019-03-13,WholePhase,1,RPh7,2018-03-21,FALSE,18,0.949579831932773
34,PT,SGE1,NSPF4_1,1,871,39,4,31,PT_NSPF4_1,PT,748,0.9977,0.957317073170732,871,298.459,186.595,111.864,39,NSPF4_1,1,15.3055897435897,1.58974358974359,4,NA,2019-03-13,WholePhase,1,RPt8,2018-05-14,FALSE,0,1
35,PZ,SGE1,NSPF5_1,3,1444,21,1,0,PZ_NSPF5_1,PZ,1477,0.9938,0.988142292490119,1444,249.775,128.879,120.896,21,NSPF5_1,1,23.7880952380952,0,2,NA,2019-03-13,WholePhase,1,RPz13,2018-09-10,TRUE,37,0.456521739130435
36,QT,SGE1,SPF1_1,1,811,48,4,70,QT_SPF1_1,QT,505,0.999,0.993920972644377,811,165.804,131.387,34.417,48,SPF1_1,1,6.9085,2.91666666666667,4,NA,2019-03-13,WholePhase,1,RQt8,2018-03-20,FALSE,4,0.988826815642458
37,QV,SGE1,NSPF1_1,2,1171,30,3,0,QV_NSPF1_1,QV,1538,0.994,0.91304347826087,1171,254.186,80.682,173.504,30,NSPF1_1,1,16.9457333333333,0,1,NA,2019-03-13,WholePhase,1,RQv5,2018-09-10,TRUE,0,1
38,RN,SGE1,NSPF2_1,1,1366,48,1,1,RN_NSPF2_1,RN,1457,0.9971,0.987654320987654,1366,322.752,98.691,224.061,48,NSPF2_1,1,13.448,0.0416666666666667,2,NA,2019-03-13,WholePhase,1,RRn9,2018-03-21,FALSE,0,1
39,RZ,SGE1,NSPF1_1,4,1244,31,2,6,RZ_NSPF1_1,RZ,1031,0.994,0.91304347826087,1244,191.69,123.915,67.775,31,NSPF1_1,1,12.3670967741935,0.387096774193548,3,NA,2019-03-13,WholePhase,1,RRz6,2018-09-10,FALSE,0,1
40,SD,SGE1,SPF1_1,5,432,47,5,108,SD_SPF1_1,SD,312,0.999,0.993920972644377,432,106.807,88.042,18.765,47,SPF1_1,1,4.54497872340426,4.59574468085106,5,NA,2019-03-13,WholePhase,1,RSd4,2018-03-20,FALSE,16,0.955307262569832
41,SM,SGE1,NSPF1_1,1,1387,31,1,1,SM_NSPF1_1,SM,1446,0.994,0.91304347826087,1387,250.062,119.946,130.116,31,NSPF1_1,1,16.1330322580645,0.0645161290322581,2,NA,2019-03-13,WholePhase,1,RSm8,2018-09-10,TRUE,0,1
42,SS,SGE1,SPF1_1,2,1435,48,2,4,SS_SPF1_1,SS,1434,0.999,0.993920972644377,1435,195.435,112.347,83.088,48,SPF1_1,1,8.143125,0.166666666666667,2,NA,2019-03-13,WholePhase,1,RSs10,2018-03-20,FALSE,2,0.994413407821229
43,TA,SGE1,SPF4_1,2,1147,31,2,4,TA_SPF4_1,TA,1144,0.9944,0.844155844155844,1147,150.954,5.553,145.401,31,SPF4_1,1,9.73896774193548,0.258064516129032,2,NA,2019-03-13,WholePhase,1,RTa11,2018-09-17,FALSE,0,1
44,TM,SGE1,NSPF4_1,3,1265,39,2,4,TM_NSPF4_1,TM,1329,0.9977,0.957317073170732,1265,298.082,54.587,243.495,39,NSPF4_1,1,15.2862564102564,0.205128205128205,2,NA,2019-03-13,WholePhase,1,RTm13,2018-05-14,FALSE,0,1
45,TR,SGE1,NSPF4_1,2,873,39,3,28,TR_NSPF4_1,TR,802,0.9977,0.957317073170732,873,321.345,198.865,122.48,39,NSPF4_1,1,16.4792307692308,1.43589743589744,3,NA,2019-03-13,WholePhase,1,RTr13,2018-05-14,FALSE,0,1
46,VT,SGE1,SPF3_1,2,1750,33,1,0,VT_SPF3_1,VT,1955,0.998,0.988105352591334,1750,96.963,31.189,65.774,33,SPF3_1,1,5.87654545454545,0,1,NA,2019-03-13,WholePhase,1,RVt12,2018-07-02,FALSE,0,1
47,WM,SGE1,NSPF5_1,5,979,26,3,13,WM_NSPF5_1,WM,1091,0.9938,0.988142292490119,979,176.199,104.515,71.684,26,NSPF5_1,1,13.5537692307692,1,3,NA,2019-03-13,WholePhase,1,RWm14,2018-09-10,FALSE,8,0.956521739130435
48,YR,SGE1,SPF3_1,5,610,33,4,226,YR_SPF3_1,YR,416,0.998,0.988105352591334,610,64.62,38.479,26.141,33,SPF3_1,1,3.91636363636364,13.6969696969697,4,NA,2019-03-13,WholePhase,1,RYr14,2018-07-02,FALSE,0,1
49,YZ,SGE1,SPF1_1,3,847,48,3,36,YZ_SPF1_1,YZ,1041,0.999,0.993920972644377,847,116.373,67.301,49.072,48,SPF1_1,1,4.848875,1.5,3,NA,2019-03-13,WholePhase,1,RYz6,2018-03-20,FALSE,8,0.977653631284916
