ID,phase.agg,group.agg,intro.no,elo.agg,num.obs,ordinal.rank,agg.received,id.group,eloID,calcElo,eloIDStart,calcEloStart,groupEloStab,groupEloDCI,elo.groom,min,min.give,min.receive,no.obs,group.groom,phase.groom,rawGroomRate,rawAggRecRate,calcOrdRank,finalRank,experimentDate,grpExpDate,adjDate,fractionKept,animalID,groupStart,diedInPhase,daysOut,fracTimeInGroup,groupcent_groom,groupcent_agRec,groupcent_elo,group.gc
11,ET,SGE1,SPF5_1,4,633,37,4,30,ET_SPF5_1,ET,486,ET,809,0.9982,0.996428571428571,633,26.263,3.29,22.973,37,SPF5_1,1,1.41962162162162,1.62162162162162,4,4,NA,2019-03-13,WholePhase,1,REt12,2018-07-08,FALSE,18,0.92741935483871,-1.93933684575264,0.50773364457575,-514,SPF5_1
12,FN,SGE1,NSPF5_1,1,1404,30,2,1,FN_NSPF5_1,FN,1541,FN,1299,0.9938,0.988142292490119,1404,211.173,91.477,119.696,30,NSPF5_1,1,14.0782,0.0666666666666667,1,1,NA,2019-03-13,WholePhase,1,RFn14,2018-09-10,FALSE,0,1,-2.12603418803419,-0.688888888888889,402,NSPF5_1
13,FW,SGE1,SPF5_1,2,1693,38,1,0,FW_SPF5_1,FW,1892,FW,1324,0.9982,0.996428571428571,1693,79.485,45.14,34.345,38,SPF5_1,1,4.18342105263158,0,1,1,NA,2019-03-13,WholePhase,1,RFw12,2018-07-08,FALSE,0,1,0.824462585257322,-1.11388797704587,892,SPF5_1
14,FY,SGE1,SPF4_1,1,907,31,3,37,FY_SPF4_1,FY,818,FY,447,0.9944,0.844155844155844,907,136.008,69.289,66.719,31,SPF4_1,1,8.77470967741936,2.38709677419355,3,3,NA,2019-03-13,WholePhase,1,RFy11,2018-09-17,FALSE,0,1,-1.08646140552995,-0.309907834101382,-127.75,SPF4_1
15,GA,SGE1,SPF3_1,4,965,33,3,45,GA_SPF3_1,GA,934,GA,1088,0.998,0.988105352591334,965,97.29,44.901,52.389,33,SPF3_1,1,5.89636363636364,2.72727272727273,3,3,NA,2019-03-13,WholePhase,1,RGa13,2018-07-02,FALSE,0,1,1.66887272727273,-1.80606060606061,-66,SPF3_1
16,GL,SGE1,SPF2_1,3,912,43,3,17,GL_SPF2_1,GL,817,GL,876,0.9995,0.997212543554007,912,166.246,62.641,103.605,43,SPF2_1,1,7.73237209302326,0.790697674418605,3,3,NA,2019-03-13,WholePhase,1,RGl11,2018-05-23,FALSE,26,0.91156462585034,2.83084366358208,-1.81092012133468,-183,SPF2_1
17,GQ,SGE1,NSPF3_1,1,1124,40,2,3,GQ_NSPF3_1,GQ,1125,GQ,1234,0.9995,1,1124,136.658,50.07,86.588,40,NSPF3_1,1,6.8329,0.15,2,2,NA,2019-03-13,WholePhase,1,RGq10,2018-04-16,FALSE,11,0.966767371601209,-2.31309999213218,-0.748701809598741,125,NSPF3_1
18,GU,SGE1,NSPF4_1,4,1404,39,1,0,GU_NSPF4_1,GU,1664,GU,1199,0.9982,0.957186544342508,1404,387.935,255.717,132.218,39,NSPF4_1,1,19.8941025641026,0,1,1,NA,2019-03-13,WholePhase,1,RGu10,2018-05-14,FALSE,0,1,5.46116666666667,-1.07948717948718,664,NSPF4_1
19,HT,SGE1,SPF1_1,4,1475,48,1,0,HT_SPF1_1,HT,1708,HT,1293,0.999,0.993920972644377,1475,323.681,54.973,268.708,48,SPF1_1,1,13.4867083333333,0,1,1,NA,2019-03-13,WholePhase,1,RHt8,2018-03-20,FALSE,0,1,5.90027092198581,-1.83581560283688,708,SPF1_1
20,IE,SGE1,NSPF1_1,3,845,29,4,27,IE_NSPF1_1,IE,492,IE,960,0.994,0.91304347826087,845,64.339,53.624,10.715,29,NSPF1_1,1,4.4371724137931,1.86206896551724,5,5,NA,2019-03-13,WholePhase,1,RIe6,2018-09-10,TRUE,17,0.885869565217391,-7.60912486466444,0.173526140155729,-508,NSPF1_1
21,IK,SGE1,NSPF3_1,4,732,31,4,24,IK_NSPF3_1,IK,664,IK,762,0.9995,1,732,44.599,17.966,26.633,31,NSPF3_1,1,2.87735483870968,1.54838709677419,4,4,NA,2019-03-13,WholePhase,1,RIk6,2018-04-16,TRUE,14,0.6797583081571,-6.2686451534225,0.649685287175452,-336,NSPF3_1
22,IV,SGE1,NSPF4_1,5,587,36,5,39,IV_NSPF4_1,IV,457,IV,831,0.9982,0.957186544342508,587,93.591,3.942,89.649,36,NSPF4_1,1,5.1995,2.16666666666667,5,5,NA,2019-03-13,WholePhase,1,RIv8,2018-05-14,FALSE,19,0.937293729372937,-9.2334358974359,1.08717948717949,-543,NSPF4_1
23,JE,SGE1,SPF2_1,4,880,46,4,27,JE_SPF2_1,JE,758,JE,739,0.9995,0.997212543554007,880,174.836,112.805,62.031,46,SPF2_1,1,7.6015652173913,1.17391304347826,4,4,NA,2019-03-13,WholePhase,1,RJe11,2018-05-23,FALSE,34,0.884353741496599,2.70003678795013,-1.42770475227503,-242,SPF2_1
24,JV,SGE1,SPF2_1,2,1176,46,2,1,JV_SPF2_1,JV,1398,JV,1223,0.9995,0.997212543554007,1176,102.785,82.423,20.362,46,SPF2_1,1,4.46891304347826,0.0434782608695652,2,2,NA,2019-03-13,WholePhase,1,JVA,2018-05-23,FALSE,8,0.972789115646258,-0.432615385962918,-2.55813953488372,398,SPF2_1
25,KK,SGE1,SPF2_1,5,336,28,5,154,KK_SPF2_1,KK,134,KK,686,0.9995,0.997212543554007,336,7.135,3.011,4.124,28,SPF2_1,1,0.509642857142857,11,5,5,NA,2019-03-13,WholePhase,1,RKk13,2018-05-23,FALSE,38,0.870748299319728,-4.39188557229832,8.39838220424671,-866,SPF2_1
26,LM,SGE1,NSPF3_1,2,1483,41,1,0,LM_NSPF3_1,LM,1718,LM,1307,0.9995,1,1483,276.847,69.806,207.041,41,NSPF3_1,1,13.5047317073171,0,1,1,NA,2019-03-13,WholePhase,1,RLm8,2018-04-16,FALSE,0,1,4.35873171518489,-0.898701809598741,718,NSPF3_1
27,LO,SGE1,NSPF3_1,3,1016,41,3,4,LO_NSPF3_1,LO,1020,LO,1036,0.9995,1,1016,197.609,97.347,100.262,41,NSPF3_1,1,9.63946341463415,0.195121951219512,3,3,NA,2019-03-13,WholePhase,1,RLo9,2018-04-16,FALSE,0,1,0.493463422501968,-0.703579858379229,20,NSPF3_1
28,MG,SGE1,SPF4_1,4,1527,31,1,0,MG_SPF4_1,MG,1619,MG,1334,0.9944,0.844155844155844,1527,229.337,204.246,25.091,31,SPF4_1,1,14.795935483871,0,1,1,NA,2019-03-13,WholePhase,1,RMg12,2018-09-17,FALSE,0,1,4.93476440092166,-2.69700460829493,673.25,SPF4_1
29,MI,SGE1,SPF3_1,3,206,11,5,34,MI_SPF3_1,MI,206,MI,500,0.998,0.988105352591334,206,15.19,14.84,0.350000000000001,11,SPF3_1,1,2.76181818181818,6.18181818181818,5,5,NA,2019-03-13,WholePhase,1,RMi12,2018-07-02,FALSE,58,0.771653543307087,-1.46567272727273,1.64848484848485,-794,SPF3_1
30,MO,SGE1,SPF2_1,1,1696,47,1,0,MO_SPF2_1,MO,1893,MO,1476,0.9995,0.997212543554007,1696,98.586,13.914,84.672,47,SPF2_1,1,4.19514893617021,0,1,1,NA,2019-03-13,WholePhase,1,77_06,2018-05-23,FALSE,0,1,-0.706379493270965,-2.60161779575329,893,SPF2_1
31,NN,SGE1,SPF4_1,5,419,28,4,114,NN_SPF4_1,NN,202,NN,838,0.9944,0.844155844155844,419,85.891,22.007,63.884,28,SPF4_1,1,6.13507142857143,8.14285714285714,4,4,NA,2019-03-13,WholePhase,1,RNn10,2018-09-17,FALSE,28,0.84180790960452,-3.72609965437788,5.44585253456221,-743.75,SPF4_1
32,PH,SGE1,NSPF2_1,5,889,44,4,10,PH_NSPF2_1,PH,756,PH,961,0.9971,0.987654320987654,889,192.729,97.741,94.988,44,NSPF2_1,1,8.76040909090909,0.454545454545455,4,4,NA,2019-03-13,WholePhase,1,RPh7,2018-03-21,FALSE,18,0.949579831932773,-3.97303345289631,-1.27825706039992,-244,NSPF2_1
33,PT,SGE1,NSPF4_1,1,871,39,4,31,PT_NSPF4_1,PT,748,PT,897,0.9982,0.957186544342508,871,298.459,186.595,111.864,39,NSPF4_1,1,15.3055897435897,1.58974358974359,4,4,NA,2019-03-13,WholePhase,1,RPt8,2018-05-14,FALSE,0,1,0.872653846153847,0.51025641025641,-252,NSPF4_1
34,QT,SGE1,SPF1_1,1,811,48,4,70,QT_SPF1_1,QT,505,QT,852,0.999,0.993920972644377,811,165.804,131.387,34.417,48,SPF1_1,1,6.9085,2.91666666666667,4,4,NA,2019-03-13,WholePhase,1,RQt8,2018-03-20,FALSE,4,0.988826815642458,-0.677937411347518,1.08085106382979,-495,SPF1_1
35,QV,SGE1,NSPF1_1,2,1171,30,3,0,QV_NSPF1_1,QV,1538,QV,1124,0.994,0.91304347826087,1171,254.186,80.682,173.504,30,NSPF1_1,1,16.9457333333333,0,1,1,NA,2019-03-13,WholePhase,1,RQv5,2018-09-10,TRUE,0,1,4.89943605487579,-1.68854282536151,538,NSPF1_1
36,RN,SGE1,NSPF2_1,1,1366,48,1,1,RN_NSPF2_1,RN,1457,RN,1124,0.9971,0.987654320987654,1366,322.752,98.691,224.061,48,NSPF2_1,1,13.448,0.0416666666666667,2,2,NA,2019-03-13,WholePhase,1,RRn9,2018-03-21,FALSE,0,1,0.7145574561946,-1.69113584827871,457,NSPF2_1
37,RZ,SGE1,NSPF1_1,4,1244,31,2,6,RZ_NSPF1_1,RZ,1031,RZ,1178,0.994,0.91304347826087,1244,191.69,123.915,67.775,31,NSPF1_1,1,12.3670967741935,0.387096774193548,3,3,NA,2019-03-13,WholePhase,1,RRz6,2018-09-10,FALSE,0,1,0.320799495736003,-1.30144605116796,31,NSPF1_1
38,SD,SGE1,SPF1_1,5,432,47,5,108,SD_SPF1_1,SD,312,SD,602,0.999,0.993920972644377,432,106.807,88.042,18.765,47,SPF1_1,1,4.54497872340426,4.59574468085106,5,5,NA,2019-03-13,WholePhase,1,RSd4,2018-03-20,FALSE,16,0.955307262569832,-3.04145868794326,2.75992907801418,-688,SPF1_1
39,SM,SGE1,NSPF1_1,1,1387,31,1,1,SM_NSPF1_1,SM,1446,SM,1294,0.994,0.91304347826087,1387,250.062,119.946,130.116,31,NSPF1_1,1,16.1330322580645,0.0645161290322581,2,2,NA,2019-03-13,WholePhase,1,RSm8,2018-09-10,TRUE,0,1,4.08673497960697,-1.62402669632925,446,NSPF1_1
40,SS,SGE1,SPF1_1,2,1435,48,2,4,SS_SPF1_1,SS,1434,SS,1296,0.999,0.993920972644377,1435,195.435,112.347,83.088,48,SPF1_1,1,8.143125,0.166666666666667,2,2,NA,2019-03-13,WholePhase,1,RSs10,2018-03-20,FALSE,2,0.994413407821229,0.556687588652482,-1.66914893617021,434,SPF1_1
41,TA,SGE1,SPF4_1,2,1147,31,2,4,TA_SPF4_1,TA,1144,TA,1164,0.9944,0.844155844155844,1147,150.954,5.553,145.401,31,SPF4_1,1,9.73896774193548,0.258064516129032,2,2,NA,2019-03-13,WholePhase,1,RTa11,2018-09-17,FALSE,0,1,-0.122203341013824,-2.4389400921659,198.25,SPF4_1
42,TM,SGE1,NSPF4_1,3,1265,39,2,4,TM_NSPF4_1,TM,1329,TM,1073,0.9982,0.957186544342508,1265,298.082,54.587,243.495,39,NSPF4_1,1,15.2862564102564,0.205128205128205,2,2,NA,2019-03-13,WholePhase,1,RTm13,2018-05-14,FALSE,0,1,0.853320512820513,-0.874358974358974,329,NSPF4_1
43,TR,SGE1,NSPF4_1,2,873,39,3,28,TR_NSPF4_1,TR,802,TR,1000,0.9982,0.957186544342508,873,321.345,198.865,122.48,39,NSPF4_1,1,16.4792307692308,1.43589743589744,3,3,NA,2019-03-13,WholePhase,1,RTr13,2018-05-14,FALSE,0,1,2.04629487179487,0.356410256410256,-198,NSPF4_1
44,VT,SGE1,SPF3_1,2,1750,33,1,0,VT_SPF3_1,VT,1955,VT,1274,0.998,0.988105352591334,1750,96.963,31.189,65.774,33,SPF3_1,1,5.87654545454545,0,1,1,NA,2019-03-13,WholePhase,1,RVt12,2018-07-02,FALSE,0,1,1.64905454545455,-4.53333333333333,955,SPF3_1
45,WM,SGE1,NSPF5_1,5,979,26,3,13,WM_NSPF5_1,WM,1091,WM,1085,0.9938,0.988142292490119,979,176.199,104.515,71.684,26,NSPF5_1,1,13.5537692307692,1,3,3,NA,2019-03-13,WholePhase,1,RWm14,2018-09-10,FALSE,8,0.956521739130435,-2.65046495726496,0.244444444444444,-48,NSPF5_1
46,YR,SGE1,SPF3_1,5,610,33,4,226,YR_SPF3_1,YR,416,YR,823,0.998,0.988105352591334,610,64.62,38.479,26.141,33,SPF3_1,1,3.91636363636364,13.6969696969697,4,4,NA,2019-03-13,WholePhase,1,RYr14,2018-07-02,FALSE,0,1,-0.311127272727272,9.16363636363636,-584,SPF3_1
47,YZ,SGE1,SPF1_1,3,847,48,3,36,YZ_SPF1_1,YZ,1041,YZ,957,0.999,0.993920972644377,847,116.373,67.301,49.072,48,SPF1_1,1,4.848875,1.5,3,3,NA,2019-03-13,WholePhase,1,RYz6,2018-03-20,FALSE,8,0.977653631284916,-2.73756241134752,-0.33581560283688,41,SPF1_1
