ID,phase.agg,group.agg,intro.no,elo.agg,num.obs,ordinal.rank,agg.received,id.group,eloID,calcElo,eloIDStart,calcEloStart,groupEloStab,groupEloDCI,elo.groom,min,min.give,min.receive,no.obs,group.groom,phase.groom,rawGroomRate,rawAggRecRate,calcOrdRank,finalRank,experimentDate,grpExpDate,adjDate,fractionKept,animalID,groupStart,diedInPhase,daysOut,fracTimeInGroup,groupcent_groom,groupcent_agRec,groupcent_elo,group.gc
11,FI,SGE2,NSPF5,4,1080,17,3,23,FI_NSPF5,FI,542,FI,1124,0.9944,0.779904306220096,1080,94.011,29.282,64.729,17,NSPF5,2,11.0601176470588,2.70588235294118,5,5,2020-01-21,2020-01-21,Vax,1,RFi9,2019-07-05,FALSE,0,1,-0.0308006535947722,1.19607843137255,-389.5,NSPF5
12,FN,SGE2,NSPF1,1,1356,26,1,0,FN_NSPF1,FN,1474,FN,1286,0.9958,0.995327102803738,1356,272.765,40.488,232.277,26,NSPF1,2,20.9819230769231,0,1,1,2020-01-21,2020-01-21,Vax,1,RFn14,2019-05-06,FALSE,0,1,9.17779122073578,-1.91521739130435,474,NSPF1
13,FW,SGE2,SPF4,1,1419,13,1,0,FW_SPF4,FW,1615,FW,1337,0.9967,1,1419,20.417,17.82,2.597,13,SPF4,2,3.14107692307692,0,1,1,2020-02-24,2020-02-24,Vax,1,RFw12,2019-08-21,FALSE,0,1,-2.31307692307692,-2.15384615384615,459,SPF4
14,FY,SGE2,SPF2,1,1021,19,2,1,FY_SPF2,FY,1111,FY,1033,1,1,1021,48.752,14.022,34.73,19,SPF2,2,5.13178947368421,0.105263157894737,2,2,2020-01-27,2020-01-27,Vax,1,RFy11,2019-07-05,FALSE,0,1,-1.37150877192982,-0.315789473684211,111,SPF2
15,GA,SGE2,SPF3,3,1194,20,2,2,GA_SPF3,GA,1155,GA,1032,0.9956,1,1194,83.758,26.334,57.424,20,SPF3,2,8.3758,0.2,3,3,2020-01-27,2020-01-27,Vax,1,RGa13,2019-07-24,TRUE,0,1,-2.93737333333333,-1.17333333333333,155,SPF3
16,GL,SGE2,SPF3,1,1134,20,3,1,GL_SPF3,GL,1171,GL,953,0.9956,1,1134,138.51,90.118,48.392,20,SPF3,2,13.851,0.1,2,2,2020-01-27,2020-01-27,Vax,1,RGl11,2019-07-24,TRUE,0,1,2.53782666666667,-1.27333333333333,171,SPF3
17,GQ,SGE2,NSPF5,3,926,18,4,22,GQ_NSPF5,GQ,836,GQ,956,0.9944,0.779904306220096,926,93.158,28.871,64.287,18,NSPF5,2,10.3508888888889,2.44444444444444,4,4,2020-01-21,2020-01-21,Vax,1,RGq10,2019-07-05,FALSE,0,1,-0.740029411764706,0.934640522875817,-95.5,NSPF5
18,GU,SGE2,NSPF1,4,1347,26,2,0,GU_NSPF1,GU,1472,GU,1258,0.9958,0.995327102803738,1347,272.597,232.277,40.32,26,NSPF1,2,20.969,0,2,2,2020-01-21,2020-01-21,Vax,1,RGu10,2019-05-06,FALSE,0,1,9.16486814381271,-1.91521739130435,472,NSPF1
19,HT,SGE2,SPF4,3,837,13,3,35,HT_SPF4,HT,681,HT,1027,0.9967,1,837,33.114,21.097,12.017,13,SPF4,2,5.09446153846154,5.38461538461539,3,3,2020-02-24,2020-02-24,Vax,1,RHt8,2019-08-21,FALSE,6,0.967914438502674,-0.359692307692308,3.23076923076923,-475,SPF4
20,IV,SGE2,NSPF5,2,1092,18,2,7,IV_NSPF5,IV,946,IV,1066,0.9944,0.779904306220096,1092,144.942,85.073,59.869,18,NSPF5,2,16.1046666666667,0.777777777777778,3,3,2020-01-21,2020-01-21,Vax,1,RIv8,2019-07-05,FALSE,0,1,5.01374836601307,-0.73202614379085,14.5,NSPF5
21,JE,SGE2,SPF2,2,1261,19,1,0,JE_SPF2,JE,1300,JE,1173,1,1,1261,76.367,28.354,48.013,19,SPF2,2,8.03863157894737,0,1,1,2020-01-27,2020-01-27,Vax,1,RJe11,2019-07-05,FALSE,0,1,1.53533333333333,-0.421052631578947,300,SPF2
22,JV,SGE2,SPF5,1,1347,12,2,0,JV_SPF5,JV,1594,JV,1334,0.9921,0.987951807228916,1347,103.931,40.004,63.927,12,SPF5,2,17.3218333333333,0,1,1,2020-02-24,2020-02-24,Vax,1,JVA,2019-10-25,FALSE,0,1,3.68827272727273,-4.04545454545455,594,SPF5
23,KK,SGE2,SPF1,4,1113,17,2,3,KK_SPF1,KK,1256,KK,1159,0.9983,0.979695431472081,1113,115.981,83.749,32.232,17,SPF1,2,13.6448235294118,0.352941176470588,2,2,2020-02-24,2020-02-24,Vax,1,RKk13,2019-07-19,FALSE,21,0.904545454545455,5.21046768882992,-1.5905572755418,216,SPF1
24,LM,SGE2,NSPF1,3,908,23,3,26,LM_NSPF1,LM,829,LM,982,0.9958,0.995327102803738,908,28.075,14.419,13.656,23,NSPF1,2,2.44130434782609,2.26086956521739,3,3,2020-01-21,2020-01-21,Vax,1,RLm8,2019-05-06,FALSE,52,0.8,-9.3628275083612,0.345652173913043,-171,NSPF1
25,LO,SGE2,NSPF4,3,966,19,3,11,LO_NSPF4,LO,949,LO,997,0.9995,1,966,127.138,65.692,61.446,19,NSPF4,2,13.3829473684211,1.15789473684211,3,3,2020-02-04,2020-02-04,Vax,1,RLo9,2019-07-19,FALSE,0,1,-5.03512046783626,0.145029239766082,-51,NSPF4
26,MD,SGE2,NSPF5,1,1316,18,1,1,MD_NSPF5,MD,1402,MD,1198,0.9944,0.779904306220096,1316,61.632,43.014,18.618,18,NSPF5,2,6.848,0.111111111111111,1,1,2020-01-21,2020-01-21,Vax,1,RMd11,2019-07-05,FALSE,0,1,-4.24291830065359,-1.39869281045752,470.5,NSPF5
27,MG,SGE2,SPF3,5,1437,20,1,0,MG_SPF3,MG,1635,MG,1309,0.9956,1,1437,141.386,70.926,70.46,20,SPF3,2,14.1386,0,1,1,2020-01-27,2020-01-27,Vax,1,RMg12,2019-07-24,FALSE,0,1,2.82542666666667,-1.37333333333333,635,SPF3
28,MI,SGE2,SPF1,2,751,18,4,27,MI_SPF1,MI,937,MI,865,0.9983,0.979695431472081,751,71.677,29.893,41.784,18,SPF1,2,7.96411111111111,3,3,3,2020-02-24,2020-02-24,Vax,1,RMi12,2019-07-19,TRUE,19,0.913636363636364,-0.470244729470735,1.05650154798762,-103,SPF1
29,NN,SGE2,SPF1,1,1516,14,1,0,NN_SPF1,NN,1608,NN,1341,0.9983,0.979695431472081,1516,62.761,3.776,58.985,14,SPF1,2,8.96585714285714,0,1,1,2020-02-24,2020-02-24,Vax,1,RNn10,2019-07-19,TRUE,57,0.65,0.531501302275295,-1.94349845201238,568,SPF1
30,NP,SGE2,NSPF3,5,1059,20,3,10,NP_NSPF3,NP,1085,NP,1080,0.9993,1,1059,177.957,103.979,73.978,20,NSPF3,2,17.7957,1,3,3,2020-01-21,2020-01-21,Vax,1,RNp9,2019-07-19,FALSE,0,1,4.17887764705882,-1.04588235294118,85,NSPF3
31,PH,SGE2,NSPF3,4,890,17,4,13,PH_NSPF3,PH,751,PH,1010,0.9993,1,890,87.579,28.364,59.215,17,NSPF3,2,10.3034117647059,1.52941176470588,4,4,2020-01-21,2020-01-21,Vax,1,RPh7,2019-07-19,FALSE,31,0.833333333333333,-3.3134105882353,-0.516470588235294,-249,NSPF3
32,PT,SGE2,NSPF2,5,592,27,4,102,PT_NSPF2,PT,534,PT,843,0.9976,0.984848484848485,592,74.7,44.772,29.928,27,NSPF2,2,5.53333333333333,7.55555555555556,4,4,2020-02-04,2020-02-04,Vax,1,RPt8,2019-04-26,TRUE,50,0.823943661971831,-2.60314417077176,3.94198139025725,-466,NSPF2
33,RN,SGE2,NSPF1,2,389,20,4,54,RN_NSPF1,RN,225,RN,474,0.9958,0.995327102803738,389,28.243,13.656,14.587,20,NSPF1,2,2.8243,5.4,4,4,2020-01-21,2020-01-21,Vax,1,RRn9,2019-05-06,FALSE,40,0.846153846153846,-8.97983185618729,3.48478260869565,-775,NSPF1
34,RZ,SGE2,NSPF2,3,1462,29,2,1,RZ_NSPF2,RZ,1631,RZ,1263,0.9976,0.984848484848485,1462,62.307,32.066,30.241,29,NSPF2,2,4.29703448275862,0.0689655172413793,1,1,2020-02-04,2020-02-04,Vax,1,RRz6,2019-04-26,FALSE,0,1,-3.83944302134647,-3.54460864805692,631,NSPF2
35,SS,SGE2,SPF5,3,901,12,4,18,SS_SPF5,SS,1029,SS,885,0.9921,0.987951807228916,901,76.7,38.634,38.066,12,SPF5,2,12.7833333333333,3,3,3,2020-02-24,2020-02-24,Vax,1,RSs10,2019-10-25,FALSE,0,1,-0.850227272727272,-1.04545454545455,29,SPF5
36,TA,SGE2,SPF5,2,1409,12,1,0,TA_SPF5,TA,1407,TA,1404,0.9921,0.987951807228916,1409,92.119,17.253,74.866,12,SPF5,2,15.3531666666667,0,2,2,2020-02-24,2020-02-24,Vax,1,RTa11,2019-10-25,FALSE,0,1,1.71960606060606,-4.04545454545455,407,SPF5
37,TM,SGE2,NSPF4,4,799,19,4,16,TM_NSPF4,TM,761,TM,771,0.9995,1,799,149.696,66.931,82.765,19,NSPF4,2,15.7574736842105,1.68421052631579,4,4,2020-02-04,2020-02-04,Vax,1,RTm13,2019-07-19,FALSE,0,1,-2.66059415204679,0.671345029239766,-239,NSPF4
38,TR,SGE2,NSPF3,3,392,20,5,77,TR_NSPF3,TR,233,TR,502,0.9993,1,392,73.399,64.147,9.25200000000001,20,NSPF3,2,7.3399,7.7,5,5,2020-01-21,2020-01-21,Vax,1,RTr13,2019-07-19,FALSE,5,0.973118279569892,-6.27692235294118,5.65411764705882,-767,NSPF3
39,VH,SGE2,NSPF4,5,638,18,5,20,VH_NSPF4,VH,552,VH,873,0.9995,1,638,120.676,77.709,42.967,18,NSPF4,2,13.4084444444444,2.22222222222222,5,5,2020-02-04,2020-02-04,Vax,1,RVh7,2019-07-19,FALSE,11,0.945,-5.00962339181287,1.2093567251462,-448,NSPF4
40,VT,SGE2,SPF5,5,410,12,5,75,VT_SPF5,VT,298,VT,443,0.9921,0.987951807228916,410,25.511,24.334,1.177,12,SPF5,2,4.25183333333333,12.5,5,5,2020-02-24,2020-02-24,Vax,1,RVt12,2019-10-25,FALSE,12,0.901639344262295,-9.38172727272727,8.45454545454545,-702,SPF5
41,WM,SGE2,NSPF3,2,1393,20,1,0,WM_NSPF3,WM,1491,WM,1247,0.9993,1,1393,160.27,81.723,78.547,20,NSPF3,2,16.027,0,1,1,2020-01-21,2020-01-21,Vax,1,RWm14,2019-07-19,FALSE,0,1,2.41017764705882,-2.04588235294118,491,NSPF3
42,YR,SGE2,SPF2,3,718,19,3,11,YR_SPF2,YR,589,YR,794,1,1,718,60.225,50.296,9.92899999999999,19,SPF2,2,6.33947368421053,1.15789473684211,3,3,2020-01-27,2020-01-27,Vax,1,RYr14,2019-07-05,FALSE,0,1,-0.163824561403509,0.736842105263158,-411,SPF2
43,YZ,SGE2,SPF3,4,505,15,5,11,YZ_SPF3,YZ,449,YZ,1000,0.9956,1,505,86.756,44.837,41.919,15,SPF3,2,11.5674666666667,1.46666666666667,5,5,2020-01-27,2020-01-27,Vax,1,RYz6,2019-07-24,FALSE,41,0.780748663101604,0.254293333333333,0.0933333333333333,-551,SPF3
