ID,phase.agg,group.agg,intro.no,elo.agg,num.obs,ordinal.rank,agg.received,id.group,eloID,calcElo,eloIDStart,calcEloStart,groupEloStab,groupEloDCI,hIndex,hIndexP,ttri,ttriP,elo.groom,min,min.give,min.receive,no.obs,group.groom,phase.groom,rawGroomRate,rawAggRecRate,calcOrdRank,finalRank,experimentDate,grpExpDate,adjDate,fractionKept,animalID,groupStart,diedInPhase,daysOut,fracTimeInGroup
21,IE,SGE1,NSPF1_1,3,845,29,4,7,IE_NSPF1_1,IE,842,IE,960,0.9751,1,1,0.107,1,0.186,845,41.873,41.024,0.848999999999997,29,NSPF1_1,1,2.88779310344828,0.482758620689655,4,4,2018-10-05,2018-10-05,SingleCell,0.357491289198606,RIe6,2018-09-10,TRUE,0,1
22,IK,SGE1,NSPF3_1,4,732,31,4,18,IK_NSPF3_1,IK,676,IK,762,0.9992,1,1,0.096,1,0.1,732,36.663,15.207,21.456,31,NSPF3_1,1,2.36535483870968,1.16129032258065,4,4,2018-10-04,2018-10-04,SingleCell,0.577020843924758,RIk6,2018-04-16,TRUE,7,0.95906432748538
23,IV,SGE1,NSPF4_1,5,587,36,5,18,IV_NSPF4_1,IV,480,IV,831,0.9971,0.951807228915663,1,0.125,1,0.123,587,82.302,3.459,78.843,36,NSPF4_1,1,4.57233333333333,1,5,5,NA,2018-10-12,SingleCell,0.59106412005457,RIv8,2018-05-14,FALSE,12,0.920529801324503
24,JE,SGE1,SPF2_1,4,880,46,4,7,JE_SPF2_1,JE,899,JE,739,0.9995,0.998003992015968,1,0.124,1,0.112,880,101.783,66.19,35.593,46,SPF2_1,1,4.42534782608696,0.304347826086957,3,3,2018-10-10,2018-10-10,SingleCell,0.61671469740634,RJe11,2018-05-23,FALSE,7,0.95
25,JV,SGE1,SPF2_1,2,1176,46,2,1,JV_SPF2_1,JV,1315,JV,1223,0.9995,0.998003992015968,1,0.124,1,0.112,1176,48.957,43.751,5.206,46,SPF2_1,1,2.1285652173913,0.0434782608695652,2,2,2018-10-10,2018-10-10,SingleCell,0.61671469740634,JVA,2018-05-23,FALSE,8,0.942857142857143
26,KK,SGE1,SPF2_1,5,336,28,5,127,KK_SPF2_1,KK,149,KK,686,0.9995,0.998003992015968,1,0.124,1,0.112,336,7.135,3.011,4.124,28,SPF2_1,1,0.509642857142857,9.07142857142857,5,5,2018-10-10,2018-10-10,SingleCell,0.61671469740634,RKk13,2018-05-23,FALSE,38,0.728571428571429
27,LM,SGE1,NSPF3_1,2,1483,41,1,0,LM_NSPF3_1,LM,1631,LM,1307,0.9992,1,1,0.096,1,0.1,1483,193.747,19.596,174.151,41,NSPF3_1,1,9.45107317073171,0,1,1,2018-10-04,2018-10-04,SingleCell,0.577020843924758,RLm8,2018-04-16,FALSE,0,1
28,LO,SGE1,NSPF3_1,3,1016,41,3,2,LO_NSPF3_1,LO,1043,LO,1036,0.9992,1,1,0.096,1,0.1,1016,106.199,59.021,47.178,41,NSPF3_1,1,5.18043902439024,0.0975609756097561,3,3,2018-10-04,2018-10-04,SingleCell,0.577020843924758,RLo9,2018-04-16,FALSE,0,1
29,MG,SGE1,SPF4_1,4,1527,31,1,0,MG_SPF4_1,MG,1482,MG,1334,0.9789,0.707762557077626,0.95,0.153,1,0.327,1527,129.046,119.284,9.762,31,SPF4_1,1,8.32554838709677,0,1,1,2018-10-17,2018-10-17,SingleCell,0.516717325227964,RMg12,2018-09-17,FALSE,0,1
30,MI,SGE1,SPF3_1,3,206,11,5,34,MI_SPF3_1,MI,206,MI,500,0.9963,0.991489361702128,1,0.115,1,0.124,206,15.19,14.84,0.350000000000001,11,SPF3_1,1,2.76181818181818,6.18181818181818,5,5,NA,2018-10-18,SingleCell,0.471448275862069,RMi12,2018-07-02,FALSE,42,0.611111111111111
31,MO,SGE1,SPF2_1,1,1696,47,1,0,MO_SPF2_1,MO,1837,MO,1476,0.9995,0.998003992015968,1,0.124,1,0.112,1696,47.928,4.335,43.593,47,SPF2_1,1,2.03948936170213,0,1,1,2018-10-10,2018-10-10,SingleCell,0.61671469740634,77_06,2018-05-23,FALSE,0,1
