ID,phase.agg,group.agg,intro.no,elo.agg,num.obs,ordinal.rank,agg.received,id.group,eloID,calcElo,groupEloStab,groupEloDCI,elo.groom,min,min.give,min.receive,no.obs,group.groom,phase.groom,rawGroomRate,rawAggRecRate,calcOrdRank,experimentDate,grpExpDate,adjDate,fractionKept,animalID,groupStart,diedInPhase,daysOut,fracTimeInGroup,groupcent_groom,groupcent_agRec,groupcent_elo,group.gc
33,PH,SGE2,NSPF3,4,890,17,4,13,PH_NSPF3,PH,751,0.9993,1,890,87.579,28.364,59.215,17,NSPF3,2,10.3034117647059,1.52941176470588,4,NA,2020-05-27,WholePhase,1,RPh7,2019-07-19,FALSE,51,0.837060702875399,-3.3134105882353,-0.516470588235294,-249,NSPF3
34,PT,SGE2,NSPF2,5,592,27,4,102,PT_NSPF2,PT,534,0.9976,0.984848484848485,592,74.7,44.772,29.928,27,NSPF2,2,5.53333333333333,7.55555555555556,4,NA,2020-05-27,WholePhase,1,RPt8,2019-04-26,TRUE,50,0.874055415617129,-2.60314417077176,3.94198139025725,-466,NSPF2
35,RN,SGE2,NSPF1,2,389,20,4,54,RN_NSPF1,RN,225,0.9958,0.995327102803738,389,28.243,13.656,14.587,20,NSPF1,2,2.8243,5.4,4,NA,2020-05-27,WholePhase,1,RRn9,2019-05-06,FALSE,66,0.829457364341085,-8.97983185618729,3.48478260869565,-775,NSPF1
36,RZ,SGE2,NSPF2,3,1462,29,2,1,RZ_NSPF2,RZ,1631,0.9976,0.984848484848485,1462,62.307,32.066,30.241,29,NSPF2,2,4.29703448275862,0.0689655172413793,1,NA,2020-05-27,WholePhase,1,RRz6,2019-04-26,FALSE,0,1,-3.83944302134647,-3.54460864805692,631,NSPF2
38,SS,SGE2,SPF5,3,901,12,4,18,SS_SPF5,SS,1029,0.9921,0.987951807228916,901,76.7,38.634,38.066,12,SPF5,2,12.7833333333333,3,3,NA,2020-05-27,WholePhase,1,RSs10,2019-10-25,FALSE,0,1,-0.850227272727272,-1.04545454545455,29,SPF5
39,TA,SGE2,SPF5,2,1409,12,1,0,TA_SPF5,TA,1407,0.9921,0.987951807228916,1409,92.119,17.253,74.866,12,SPF5,2,15.3531666666667,0,2,NA,2020-05-27,WholePhase,1,RTa11,2019-10-25,FALSE,0,1,1.71960606060606,-4.04545454545455,407,SPF5
40,TM,SGE2,NSPF4,4,799,19,4,16,TM_NSPF4,TM,761,0.9995,1,799,149.696,66.931,82.765,19,NSPF4,2,15.7574736842105,1.68421052631579,4,NA,2020-05-27,WholePhase,1,RTm13,2019-07-19,FALSE,0,1,-2.66059415204679,0.671345029239766,-239,NSPF4
41,TR,SGE2,NSPF3,3,392,20,5,77,TR_NSPF3,TR,233,0.9993,1,392,73.399,64.147,9.25200000000001,20,NSPF3,2,7.3399,7.7,5,NA,2020-05-27,WholePhase,1,RTr13,2019-07-19,FALSE,15,0.952076677316294,-6.27692235294118,5.65411764705882,-767,NSPF3
42,VH,SGE2,NSPF4,5,638,18,5,20,VH_NSPF4,VH,552,0.9995,1,638,120.676,77.709,42.967,18,NSPF4,2,13.4084444444444,2.22222222222222,5,NA,2020-05-27,WholePhase,1,RVh7,2019-07-19,FALSE,11,0.964856230031949,-5.00962339181287,1.2093567251462,-448,NSPF4
43,VT,SGE2,SPF5,5,410,12,5,75,VT_SPF5,VT,298,0.9921,0.987951807228916,410,25.511,24.334,1.177,12,SPF5,2,4.25183333333333,12.5,5,NA,2020-05-27,WholePhase,1,RVt12,2019-10-25,FALSE,12,0.944186046511628,-9.38172727272727,8.45454545454545,-702,SPF5
44,WM,SGE2,NSPF3,2,1393,20,1,0,WM_NSPF3,WM,1491,0.9993,1,1393,160.27,81.723,78.547,20,NSPF3,2,16.027,0,1,NA,2020-05-27,WholePhase,1,RWm14,2019-07-19,FALSE,0,1,2.41017764705882,-2.04588235294118,491,NSPF3
45,YR,SGE2,SPF2,3,718,19,3,11,YR_SPF2,YR,589,1,1,718,60.225,50.296,9.92899999999999,19,SPF2,2,6.33947368421053,1.15789473684211,3,NA,2020-05-27,WholePhase,1,RYr14,2019-07-05,FALSE,0,1,-0.163824561403509,0.736842105263158,-411,SPF2
46,YZ,SGE2,SPF3,4,505,15,5,11,YZ_SPF3,YZ,449,0.9956,1,505,86.756,44.837,41.919,15,SPF3,2,11.5674666666667,1.46666666666667,5,NA,2020-05-27,WholePhase,1,RYz6,2019-07-24,FALSE,41,0.866883116883117,0.254293333333333,0.0933333333333333,-551,SPF3
